Fascia,Cognome e Nome,Cognome e Nome normalized,Uppercase Surname,Cognome,Nome,Genere,Ateneo,Facoltà,GSD 2024,SSD 2024,SSD 2015,SC 2015,Struttura di afferenza,Servizio prestato in altro ateneo,molteplicità,OpenAlex ID,OpenAlex Name,ORCID,H-Index,I10-Index,Works Count,Cited By Count,Institution (OpenAlex)
Ordinario,MANCARELLA Paolo Maria,MANCARELLA Paolo Maria,MANCARELLA,Mancarella,Paolo Maria,M,PISA,,01/INFO-01,INFO-01/A,INF/01,01/B1,INFORMATICA,,,https://openalex.org/A5112465732,Paolo Mancarella,,22.0,42.0,99.0,2177.0,University of Pisa
Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),MANCINELLI Claudio,MANCINELLI Claudio,MANCINELLI,Mancinelli,Claudio,M,GENOVA,,01/INFO-01,INFO-01/A,INF/01,01/B1,"INFORMATICA, BIOINGEGNERIA,ROBOTICA E INGEGNERIA DEI SISTEMI (DIBRIS)",,,https://openalex.org/A5035716554,Claudio Mancinelli,0000-0001-7935-3500,5.0,2.0,13.0,58.0,University of Genoa
Ordinario,MANCINI Luigi Vincenzo,MANCINI Luigi Vincenzo,MANCINI,Mancini,Luigi Vincenzo,M,"ROMA ""La Sapienza""",,01/INFO-01,INFO-01/A,INF/01,01/B1,Informatica,,,https://openalex.org/A5046905749,Luigi V. Mancini,0000-0003-4859-2191,38.0,95.0,222.0,6157.0,Sapienza University of Rome
Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),MANCINI Massimiliano,MANCINI Massimiliano,MANCINI,Mancini,Massimiliano,M,TRENTO,,01/INFO-01,INFO-01/A,INF/01,01/B1,INGEGNERIA E SCIENZA DELL'INFORMAZIONE,,,https://openalex.org/A5101520339,Massimiliano Mancini,0000-0001-7465-2229,22.0,31.0,76.0,2038.0,Sapienza University of Rome
Associato,MANCINI Maurizio,MANCINI Maurizio,MANCINI,Mancini,Maurizio,M,"ROMA ""La Sapienza""",,01/INFO-01,INFO-01/A,INF/01,01/B1,Informatica,,,https://openalex.org/A5004267627,Maurizio Mancini,0000-0002-9933-8583,26.0,69.0,206.0,3040.0,Sapienza University of Rome
Ordinario,MANCINI Toni,MANCINI Toni,MANCINI,Mancini,Toni,M,"ROMA ""La Sapienza""",,01/INFO-01,INFO-01/A,INF/01,01/B1,Informatica,,,https://openalex.org/A5084753554,Toni Mancini,0000-0003-3355-2170,25.0,60.0,135.0,2218.0,Sapienza University of Rome
Ordinario,MANIEZZO Vittorio,MANIEZZO Vittorio,MANIEZZO,Maniezzo,Vittorio,M,BOLOGNA,,01/INFO-01,INFO-01/A,INF/01,01/B1,Informatica - Scienza e Ingegneria,,,https://openalex.org/A5035750085,Vittorio Maniezzo,0000-0002-1220-1235,37.0,67.0,151.0,21401.0,University of Bologna
Ordinario,MANNA Marco,MANNA Marco,MANNA,Manna,Marco,M,della CALABRIA,,01/INFO-01,INFO-01/A,INF/01,01/B1,Matematica e Informatica - DeMaCS,,,https://openalex.org/A5013892564,Marco Pio La Manna,0000-0002-3327-9541,19.0,31.0,75.0,1390.0,University of Palermo
Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),MANNARO Katiuscia,MANNARO Katiuscia,MANNARO,Mannaro,Katiuscia,F,CAGLIARI,,01/INFO-01,INFO-01/A,INF/01,01/B1,MATEMATICA E INFORMATICA,,,https://openalex.org/A5008686056,Katiuscia Mannaro,0000-0002-3939-9042,13.0,13.0,38.0,719.0,University of Cagliari
Associato confermato,MANTACI Sabrina,MANTACI Sabrina,MANTACI,Mantaci,Sabrina,F,PALERMO,,01/INFO-01,INFO-01/A,INF/01,01/B1,Matematica e Informatica,,,https://openalex.org/A5076830561,Sabrina Mantaci,0000-0002-9200-0520,11.0,11.0,54.0,589.0,University of Palermo
